t,ax,ay,az
8.687160730361938,0.1666,0.0963,-0.4379
8.695828199386597,0.2277,0.1754,-0.5709
8.707671403884888,0.2685,0.2546,-0.6705
8.71616506576538,0.2869,0.2714,-0.7315
8.727570056915283,0.2787,0.2325,-0.7325
8.736716270446777,0.2616,0.1808,-0.6866
8.744983196258545,0.3051,0.1661,-0.5584
8.757089138031006,0.2377,0.0252,-0.3082
8.765410423278809,0.1498,-0.0236,-0.257
8.777211904525757,0.0365,-0.0667,-0.0516
8.785837888717651,-0.1197,-0.1713,0.3248
8.797515153884888,-0.2086,-0.2161,0.5752
8.806413888931274,-0.2759,-0.2424,0.7694
8.814678192138672,-0.3058,-0.2685,0.8511
8.826826095581055,-0.2482,-0.245,0.7423
8.835116386413574,-0.2524,-0.1918,0.5983
8.846728086471558,-0.3101,-0.2078,0.5508
8.855205059051514,-0.2431,-0.1382,0.3965
8.867408752441406,-0.1939,-0.1144,0.1741
8.876073122024536,-0.1129,-0.0602,0.0043
8.887522459030151,0.0064,0.0286,-0.1617
8.896333456039429,0.1129,0.1147,-0.4071
8.904632806777954,0.1714,0.1722,-0.5734
8.91658902168274,0.2332,0.2169,-0.6504
8.925087213516235,0.2601,0.272,-0.7133
8.937050104141235,0.2713,0.2691,-0.786
8.945544481277466,0.2857,0.199,-0.7207
8.95725154876709,0.353,0.3214,-0.567
8.966365814208984,0.2491,0.1616,-0.4476
8.977340698242188,0.2389,0.0782,-0.5496
8.986273050308228,0.157,-0.0328,-0.3291
8.99440312385559,0.065,-0.0812,-0.0428
9.006487846374512,-0.0677,-0.1268,0.3063
9.015612840652466,-0.1845,-0.1951,0.589
9.026589155197144,-0.2523,-0.2758,0.8297
9.034992933273315,-0.2963,-0.3585,0.9661
9.047057867050171,-0.3128,-0.3284,0.8833
9.05593466758728,-0.2398,-0.2833,0.7498
9.06735873222351,-0.2343,-0.2019,0.5702
9.07641077041626,-0.2246,-0.1663,0.4301
9.084522247314453,-0.2241,-0.0674,0.3014
9.09675908088684,-0.1734,-0.031,0.1782
9.10497760772705,-0.0526,0.0289,-0.0124
9.117003679275513,0.0383,0.0276,-0.1281
9.125467777252197,0.12,0.1077,-0.3361
9.137143611907959,0.2057,0.1682,-0.5165
9.14595913887024,0.2563,0.2225,-0.5963
9.157496929168701,0.2779,0.2974,-0.7139
