t,msg_type,payload
1773704294.5160522,ReferenceFreqMsg,"{'t': 1773704294.5160522, 'f_ref': 7.5}"
1773704294.5176892,ReferenceFreqMsg,"{'t': 1773704294.5176892, 'f_ref': 7.5}"
1773704294.5191164,ReferenceFreqMsg,"{'t': 1773704294.5191164, 'f_ref': 7.5}"
1773704294.5204716,ReferenceFreqMsg,"{'t': 1773704294.5204716, 'f_ref': 7.5}"
1773704294.522305,ReferenceFreqMsg,"{'t': 1773704294.522305, 'f_ref': 7.5}"
1773704294.5237975,ReferenceFreqMsg,"{'t': 1773704294.5237975, 'f_ref': 7.5}"
1773704294.5263608,ReferenceFreqMsg,"{'t': 1773704294.5263608, 'f_ref': 7.5}"
1773704294.5279562,ReferenceFreqMsg,"{'t': 1773704294.5279562, 'f_ref': 7.5}"
1773704294.529401,ReferenceFreqMsg,"{'t': 1773704294.529401, 'f_ref': 7.5}"
1773704294.5309727,ReferenceFreqMsg,"{'t': 1773704294.5309727, 'f_ref': 7.5}"
1773704294.5329096,ReferenceFreqMsg,"{'t': 1773704294.5329096, 'f_ref': 7.5}"
1773704294.5349624,ReferenceFreqMsg,"{'t': 1773704294.5349624, 'f_ref': 7.5}"
1773704294.5367246,ReferenceFreqMsg,"{'t': 1773704294.5367246, 'f_ref': 7.5}"
1773704294.5381055,ReferenceFreqMsg,"{'t': 1773704294.5381055, 'f_ref': 7.5}"
1773704294.5396166,ReferenceFreqMsg,"{'t': 1773704294.5396166, 'f_ref': 7.5}"
1773704294.5414026,ReferenceFreqMsg,"{'t': 1773704294.5414026, 'f_ref': 7.5}"
1773704294.542734,ReferenceFreqMsg,"{'t': 1773704294.542734, 'f_ref': 7.5}"
1773704294.5445237,ReferenceFreqMsg,"{'t': 1773704294.5445237, 'f_ref': 7.5}"
1773704294.5463493,ReferenceFreqMsg,"{'t': 1773704294.5463493, 'f_ref': 7.5}"
1773704294.5482006,ReferenceFreqMsg,"{'t': 1773704294.5482006, 'f_ref': 7.5}"
1773704294.5498922,ReferenceFreqMsg,"{'t': 1773704294.5498922, 'f_ref': 7.5}"
1773704294.5517118,ReferenceFreqMsg,"{'t': 1773704294.5517118, 'f_ref': 7.5}"
1773704294.5535836,ReferenceFreqMsg,"{'t': 1773704294.5535836, 'f_ref': 7.5}"
1773704294.5552711,ReferenceFreqMsg,"{'t': 1773704294.5552711, 'f_ref': 7.5}"
1773704294.5571117,ReferenceFreqMsg,"{'t': 1773704294.5571117, 'f_ref': 7.5}"
1773704294.5585487,ReferenceFreqMsg,"{'t': 1773704294.5585487, 'f_ref': 7.5}"
1773704294.560405,ReferenceFreqMsg,"{'t': 1773704294.560405, 'f_ref': 7.5}"
1773704294.562102,ReferenceFreqMsg,"{'t': 1773704294.562102, 'f_ref': 7.5}"
1773704294.5635023,ReferenceFreqMsg,"{'t': 1773704294.5635023, 'f_ref': 7.5}"
1773704294.5648217,ReferenceFreqMsg,"{'t': 1773704294.5648217, 'f_ref': 7.5}"
1773704294.5666215,ReferenceFreqMsg,"{'t': 1773704294.5666215, 'f_ref': 7.5}"
1773704294.5679574,ReferenceFreqMsg,"{'t': 1773704294.5679574, 'f_ref': 7.5}"
1773704294.5697598,ReferenceFreqMsg,"{'t': 1773704294.5697598, 'f_ref': 7.5}"
1773704294.5710773,ReferenceFreqMsg,"{'t': 1773704294.5710773, 'f_ref': 7.5}"
1773704294.572422,ReferenceFreqMsg,"{'t': 1773704294.572422, 'f_ref': 7.5}"
1773704294.57408,ReferenceFreqMsg,"{'t': 1773704294.57408, 'f_ref': 7.5}"
1773704294.5754023,ReferenceFreqMsg,"{'t': 1773704294.5754023, 'f_ref': 7.5}"
1773704294.5767071,ReferenceFreqMsg,"{'t': 1773704294.5767071, 'f_ref': 7.5}"
1773704294.5780582,ReferenceFreqMsg,"{'t': 1773704294.5780582, 'f_ref': 7.5}"
1773704294.5798113,ReferenceFreqMsg,"{'t': 1773704294.5798113, 'f_ref': 7.5}"
1773704294.581308,ReferenceFreqMsg,"{'t': 1773704294.581308, 'f_ref': 7.5}"
1773704294.5828927,ReferenceFreqMsg,"{'t': 1773704294.5828927, 'f_ref': 7.5}"
1773704294.584636,ReferenceFreqMsg,"{'t': 1773704294.584636, 'f_ref': 7.5}"
1773704294.5860007,ReferenceFreqMsg,"{'t': 1773704294.5860007, 'f_ref': 7.5}"
1773704294.5873933,ReferenceFreqMsg,"{'t': 1773704294.5873933, 'f_ref': 7.5}"
1773704294.5890694,ReferenceFreqMsg,"{'t': 1773704294.5890694, 'f_ref': 7.5}"
1773704294.590396,ReferenceFreqMsg,"{'t': 1773704294.590396, 'f_ref': 7.5}"
1773704294.592078,ReferenceFreqMsg,"{'t': 1773704294.592078, 'f_ref': 7.5}"
1773704294.5935333,ReferenceFreqMsg,"{'t': 1773704294.5935333, 'f_ref': 7.5}"
1773704294.595296,ReferenceFreqMsg,"{'t': 1773704294.595296, 'f_ref': 7.5}"
1773704294.5966623,ReferenceFreqMsg,"{'t': 1773704294.5966623, 'f_ref': 7.5}"
1773704294.5982573,ReferenceFreqMsg,"{'t': 1773704294.5982573, 'f_ref': 7.5}"
1773704294.5996816,ReferenceFreqMsg,"{'t': 1773704294.5996816, 'f_ref': 7.5}"
1773704294.6014614,ReferenceFreqMsg,"{'t': 1773704294.6014614, 'f_ref': 7.5}"
1773704294.6032937,ReferenceFreqMsg,"{'t': 1773704294.6032937, 'f_ref': 7.5}"
1773704294.6050346,ReferenceFreqMsg,"{'t': 1773704294.6050346, 'f_ref': 7.5}"
1773704294.606818,ReferenceFreqMsg,"{'t': 1773704294.606818, 'f_ref': 7.5}"
1773704294.608629,ReferenceFreqMsg,"{'t': 1773704294.608629, 'f_ref': 7.5}"
1773704294.610255,ReferenceFreqMsg,"{'t': 1773704294.610255, 'f_ref': 7.5}"
1773704294.6120338,ReferenceFreqMsg,"{'t': 1773704294.6120338, 'f_ref': 7.5}"
1773704294.6135478,ReferenceFreqMsg,"{'t': 1773704294.6135478, 'f_ref': 7.5}"
1773704294.615412,ReferenceFreqMsg,"{'t': 1773704294.615412, 'f_ref': 7.5}"
1773704294.6175294,ReferenceFreqMsg,"{'t': 1773704294.6175294, 'f_ref': 7.5}"
1773704294.6190946,ReferenceFreqMsg,"{'t': 1773704294.6190946, 'f_ref': 7.5}"
1773704294.620418,ReferenceFreqMsg,"{'t': 1773704294.620418, 'f_ref': 7.5}"
